Experiment;Training_Condition;yi;yi_lwr;yi_upr;DV
1;Overall; 0,460; 0,24; 0,67;Self Reports           
1;Acquisition_Only; 0,320; 0,03; 0,60;Self Reports           
1;Extinction; 0,640; 0,31; 0,97;Self Reports           
2;Overall; 0,570; 0,35; 0,79;Self Reports           
2;Acquisition_Only; 0,360; 0,07; 0,64;Self Reports           
2;Extinction; 0,860; 0,49; 1,21;Self Reports           
3;Overall; 0,690; 0,46; 0,92;Self Reports           
3;Acquisition_Only; 0,910; 0,55; 1,25;Self Reports           
3;Extinction; 0,510; 0,19; 0,81;Self Reports           
4;Overall; 0,580; 0,36; 0,79;Self Reports           
4;Acquisition_Only; 0,460; 0,16; 0,75;Self Reports           
4;Extinction; 0,790; 0,44; 1,13;Self Reports           
5;Overall; 0,170;-0,04; 0,38;Self Reports           
5;Acquisition_Only; 0,420; 0,09; 0,74;Self Reports           
5;Counterconditioning; 0,250;-0,53; 0,05;Self Reports           
6;Overall; 0,330; 0,10; 0,55;Self Reports           
6;Acquisition_Only; 0,390; 0,05; 0,71;Self Reports           
6;Counterconditioning; 0,270;-0,03; 0,57;Self Reports           
7;Overall; 0,160; 0,05; 0,27;Self Reports           
7;Acquisition_Only; 0,170;-0,02; 0,36;Self Reports           
7;Extinction; 0,410; 0,21; 0,60;Self Reports           
7;Counterconditioning;-0,110;-0,31; 0,08;Self Reports           
1;Overall; 0,380; 0,17; 0,59;IAT Effects            
1;Acquisition_Only; 0,350; 0,06; 0,64;IAT Effects            
1;Extinction; 0,420; 0,10; 0,73;IAT Effects            
2;Overall;-0,030;-0,24; 0,18;IAT Effects            
2;Acquisition_Only;-0,050;-0,32; 0,23;IAT Effects            
2;Extinction;-0,007;-0,32; 0,30;IAT Effects            
3;Overall; 0,550; 0,33; 0,77;IAT Effects            
3;Acquisition_Only; 0,700; 0,37; 1,03;IAT Effects            
3;Extinction; 0,410; 0,10; 0,70;IAT Effects            
4;Overall; 0,120;-0,08; 0,33;IAT Effects            
4;Acquisition_Only; 0,160;-0,13; 0,44;IAT Effects            
4;Extinction; 0,090;-0,21; 0,39;IAT Effects            
5;Overall; 0,080;-0,13; 0,29;IAT Effects            
5;Acquisition_Only; 0,120;-0,19; 0,43;IAT Effects            
5;Counterconditioning; 0,020;-0,27; 0,31;IAT Effects            
6;Overall; 0,130;-0,08; 0,35;IAT Effects            
6;Acquisition_Only; 0,090;-0,22; 0,41;IAT Effects            
6;Counterconditioning; 0,180;-0,12; 0,47;IAT Effects            
7;Overall; 0,060;-0,06; 0,17;IAT Effects            
7;Acquisition_Only; 0,080;-0,11; 0,27;IAT Effects            
7;Extinction; 0,090;-0,10; 0,28;IAT Effects            
7;Counterconditioning;-0,010;-0,20; 0,18;IAT Effects            
1;Overall; 0,480; 0,15; 0,79;Intentions             
1;Acquisition_Only; 0,350;-0,07; 0,78;Intentions             
1;Extinction; 0,640; 0,13; 1,09;Intentions             
2;Overall; 0,860; 0,47; 1,26;Intentions             
2;Acquisition_Only; 0,660; 0,16; 1,17;Intentions             
2;Extinction; 1,120; 0,46; 1,79;Intentions             
3;Overall; 0,460; 0,14; 0,79;Intentions             
3;Acquisition_Only; 1,240; 0,44; 2,04;Intentions             
3;Extinction; 0,140;-0,25; 0,52;Intentions             
4;Overall; 0,610; 0,27; 0,94;Intentions             
4;Acquisition_Only; 0,330;-0,07; 0,73;Intentions             
4;Extinction; 1,090; 0,43; 1,76;Intentions             
5;Overall; 0,550; 0,21; 0,89;Intentions             
5;Acquisition_Only; 1,070; 0,49; 1,65;Intentions             
5;Counterconditioning; 0,000;-0,47; 0,48;Intentions             
6;Overall; 0,250;-0,08; 0,57;Intentions             
6;Acquisition_Only; 0,290;-0,21; 0,81;Intentions             
6;Counterconditioning; 0,210;-0,21; 0,63;Intentions             
7;Overall; 0,050;-0,10; 0,21;Intentions             
7;Acquisition_Only; 0,090;-0,19; 0,37;Intentions             
7;Extinction; 0,430; 0,14; 0,73;Intentions             
7;Counterconditioning;-0,330;-0,61;-0,06;Intentions             
