Experiment	Training_Condition	yi	yi_lwr	yi_upr
1	Overall	0,46	0,24	0,67
1	Acquisition_Only	0,32	0,03	0,6
1	Extinction	0,64	0,31	0,97
2	Overall	0,57	0,35	0,79
2	Acquisition_Only	0,36	0,07	0,64
2	Extinction	0,86	0,49	1,21
3	Overall	0,69	0,46	0,92
3	Acquisition_Only	0,91	0,55	1,25
3	Extinction	0,51	0,19	0,81
4	Overall	0,58	0,36	0,79
4	Acquisition_Only	0,46	0,16	0,75
4	Extinction	0,79	0,44	1,13
5	Overall	0,17	-0,04	0,38
5	Acquisition_Only	0,42	0,09	0,74
5	Counterconditioning	0,25	-0,53	0,05
6	Overall	0,33	0,1	0,55
6	Acquisition_Only	0,39	0,05	0,71
6	Counterconditioning	0,27	-0,03	0,57
7	Overall	0,16	0,05	0,27
7	Acquisition_Only	0,17	-0,02	0,36
7	Extinction	0,41	0,21	0,6
7	Counterconditioning	-0,11	-0,31	0,08
