ID;IAT_D2;IAT_order;Reverse_Scored_IAT_D2
  4; 0,384142189;Learning_Inconsistent_First;-0,384142189
  5; 0,365546802;Learning_Consistent_First; 0,365546802
  6;-0,317414923;Learning_Inconsistent_First; 0,317414923
  7; 0,532619386;Learning_Consistent_First; 0,532619386
  8; 0,244331352;Learning_Inconsistent_First;-0,244331352
  9; 0,767616643;Learning_Consistent_First; 0,767616643
 11; 0,712921108;Learning_Consistent_First; 0,712921108
 12; 0,177211581;Learning_Inconsistent_First;-0,177211581
 14;-0,913459266;Learning_Inconsistent_First; 0,913459266
 16; 0,387978977;Learning_Inconsistent_First;-0,387978977
 17;-0,457716337;Learning_Consistent_First;-0,457716337
 18; 0,874508457;Learning_Inconsistent_First;-0,874508457
 19; 0,001965256;Learning_Consistent_First; 0,001965256
 21;-0,162641702;Learning_Consistent_First;-0,162641702
 23; 0,343803697;Learning_Consistent_First; 0,343803697
 24; 0,013833330;Learning_Inconsistent_First;-0,013833330
 27;-0,257562197;Learning_Consistent_First;-0,257562197
 28;-0,002153890;Learning_Inconsistent_First; 0,002153890
 30; 0,747906711;Learning_Inconsistent_First;-0,747906711
 32; 0,210616207;Learning_Inconsistent_First;-0,210616207
 33;-0,123363443;Learning_Consistent_First;-0,123363443
 35;-0,196187685;Learning_Consistent_First;-0,196187685
 36; 0,181021083;Learning_Inconsistent_First;-0,181021083
 37; 0,754296119;Learning_Consistent_First; 0,754296119
 39; 0,098994037;Learning_Consistent_First; 0,098994037
 43;-0,012445145;Learning_Consistent_First;-0,012445145
 45;-0,381080167;Learning_Consistent_First;-0,381080167
 49; 0,272284692;Learning_Consistent_First; 0,272284692
 50; 0,485534207;Learning_Inconsistent_First;-0,485534207
 52; 0,549876081;Learning_Inconsistent_First;-0,549876081
 53; 0,120141338;Learning_Consistent_First; 0,120141338
 54;-0,076185570;Learning_Inconsistent_First; 0,076185570
 55; 0,176189931;Learning_Consistent_First; 0,176189931
 56; 0,269793808;Learning_Inconsistent_First;-0,269793808
 57;-0,381066973;Learning_Consistent_First;-0,381066973
 61; 0,149606379;Learning_Consistent_First; 0,149606379
 62; 0,480582646;Learning_Inconsistent_First;-0,480582646
 63;-0,522103750;Learning_Consistent_First;-0,522103750
 70;-0,772141807;Learning_Inconsistent_First; 0,772141807
 72; 0,295704808;Learning_Inconsistent_First;-0,295704808
 73;-0,236186169;Learning_Consistent_First;-0,236186169
 74; 0,390550568;Learning_Inconsistent_First;-0,390550568
 75; 1,003708624;Learning_Consistent_First; 1,003708624
 82; 0,431375758;Learning_Inconsistent_First;-0,431375758
 83;-0,442709281;Learning_Consistent_First;-0,442709281
 84; 0,249097481;Learning_Inconsistent_First;-0,249097481
 85; 0,659535121;Learning_Consistent_First; 0,659535121
 86; 0,280664644;Learning_Inconsistent_First;-0,280664644
 89; 0,106762955;Learning_Consistent_First; 0,106762955
 91; 0,225223058;Learning_Consistent_First; 0,225223058
 92; 0,710991011;Learning_Inconsistent_First;-0,710991011
 93;-0,108976387;Learning_Consistent_First;-0,108976387
 95; 0,111114359;Learning_Consistent_First; 0,111114359
 96; 0,276762565;Learning_Inconsistent_First;-0,276762565
 99; 0,056514233;Learning_Consistent_First; 0,056514233
100;-0,034668496;Learning_Inconsistent_First; 0,034668496
103;-0,120630841;Learning_Consistent_First;-0,120630841
104;-0,246908291;Learning_Inconsistent_First; 0,246908291
106;-0,188203372;Learning_Inconsistent_First; 0,188203372
107; 0,489127212;Learning_Consistent_First; 0,489127212
108; 0,288748535;Learning_Inconsistent_First;-0,288748535
111; 0,413948510;Learning_Consistent_First; 0,413948510
113; 0,381152930;Learning_Consistent_First; 0,381152930
115; 0,036491502;Learning_Consistent_First; 0,036491502
117; 0,235298464;Learning_Consistent_First; 0,235298464
118; 0,288275060;Learning_Inconsistent_First;-0,288275060
119; 0,474927897;Learning_Consistent_First; 0,474927897
120; 0,488254037;Learning_Inconsistent_First;-0,488254037
124; 0,065323707;Learning_Inconsistent_First;-0,065323707
125; 0,346869849;Learning_Consistent_First; 0,346869849
131; 0,747580609;Learning_Consistent_First; 0,747580609
132; 0,066301745;Learning_Inconsistent_First;-0,066301745
133; 0,058650671;Learning_Consistent_First; 0,058650671
134; 0,111721199;Learning_Inconsistent_First;-0,111721199
135; 0,202108478;Learning_Consistent_First; 0,202108478
137; 0,077409032;Learning_Consistent_First; 0,077409032
139; 0,292583134;Learning_Consistent_First; 0,292583134
140; 0,327228397;Learning_Inconsistent_First;-0,327228397
141;-0,045685379;Learning_Consistent_First;-0,045685379
142; 0,115397815;Learning_Inconsistent_First;-0,115397815
147; 0,085991642;Learning_Consistent_First; 0,085991642
150;-0,004281082;Learning_Inconsistent_First; 0,004281082
152; 0,197046882;Learning_Inconsistent_First;-0,197046882
153;-0,149158293;Learning_Consistent_First;-0,149158293
155; 0,770697645;Learning_Consistent_First; 0,770697645
156; 0,457780485;Learning_Inconsistent_First;-0,457780485
157;-0,504411925;Learning_Consistent_First;-0,504411925
158;-0,249271537;Learning_Inconsistent_First; 0,249271537
159;-0,079552858;Learning_Consistent_First;-0,079552858
160;-0,312402781;Learning_Inconsistent_First; 0,312402781
167; 0,512830186;Learning_Consistent_First; 0,512830186
172;-0,452958908;Learning_Inconsistent_First; 0,452958908
174; 0,030894523;Learning_Inconsistent_First;-0,030894523
175; 0,163860881;Learning_Consistent_First; 0,163860881
180; 0,308234620;Learning_Inconsistent_First;-0,308234620
182; 0,829618497;Learning_Inconsistent_First;-0,829618497
