subject;block_number;mean_correct;sd_correct;block_type;training_performance;training_condition
  9;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 10;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 11;4;0,85;0,3663475;Extinction;Pass;Extinction_Condition
 12;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 16;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 25;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 27;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 29;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 32;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 42;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 44;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 45;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 46;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 47;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
 48;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 63;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 64;4;0,75;0,4442617;Extinction;Pass;Extinction_Condition
 73;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 76;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 78;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 89;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 90;4;0,60;0,5026247;Extinction;Fail;Extinction_Condition
 91;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
 95;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
 96;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
105;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
106;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
109;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
111;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
112;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
121;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
122;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
125;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
126;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
127;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
137;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
139;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
142;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
144;4;0,45;0,5104178;Extinction;Fail;Extinction_Condition
153;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
156;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
157;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
158;4;1,00;0,0000000;Extinction;Pass;Extinction_Condition
159;4;0,95;0,2236068;Extinction;Pass;Extinction_Condition
