subject;stimulus_identity
  2;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  4;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  5;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  6;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  7;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  8;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  9;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 10;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 11;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 12;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 16;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 18;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 19;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 21;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 22;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 24;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 25;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 26;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 27;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 28;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 29;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 32;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 33;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 34;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 36;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 37;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 38;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 39;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 40;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 42;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 44;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 45;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 46;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 47;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 48;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 49;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 52;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 53;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 55;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 56;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 59;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 63;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 64;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 65;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 66;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 69;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 71;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 72;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 73;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 76;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 78;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 81;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 82;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 83;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 84;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
