subject;block_number;mean_correct;sd_correct;block_type;training_performance
  4;5;1,00;0,0000000;Training;Pass
  5;5;1,00;0,0000000;Training;Pass
  6;5;0,90;0,3077935;Training;Pass
  7;5;0,50;0,5129892;Training;Fail
  8;5;0,90;0,3077935;Training;Pass
  9;5;1,00;0,0000000;Training;Pass
 10;5;1,00;0,0000000;Training;Pass
 11;5;0,85;0,3663475;Training;Pass
 12;5;1,00;0,0000000;Training;Pass
 16;5;1,00;0,0000000;Training;Pass
 18;5;0,95;0,2236068;Training;Pass
 19;5;1,00;0,0000000;Training;Pass
 21;5;1,00;0,0000000;Training;Pass
 22;5;1,00;0,0000000;Training;Pass
 24;5;1,00;0,0000000;Training;Pass
 25;5;1,00;0,0000000;Training;Pass
 27;5;0,90;0,3077935;Training;Pass
 28;5;0,95;0,2236068;Training;Pass
 29;5;0,95;0,2236068;Training;Pass
 32;5;1,00;0,0000000;Training;Pass
 33;5;1,00;0,0000000;Training;Pass
 34;5;1,00;0,0000000;Training;Pass
 36;5;1,00;0,0000000;Training;Pass
 37;5;1,00;0,0000000;Training;Pass
 38;5;0,95;0,2236068;Training;Pass
 39;5;0,50;0,5129892;Training;Fail
 40;5;0,95;0,2236068;Training;Pass
 42;5;1,00;0,0000000;Training;Pass
 44;5;1,00;0,0000000;Training;Pass
 45;5;1,00;0,0000000;Training;Pass
 46;5;1,00;0,0000000;Training;Pass
 47;5;0,45;0,5104178;Training;Fail
 48;5;0,90;0,3077935;Training;Pass
 49;5;0,55;0,5104178;Training;Fail
 52;5;0,95;0,2236068;Training;Pass
 53;5;1,00;0,0000000;Training;Pass
 55;5;1,00;0,0000000;Training;Pass
 56;5;1,00;0,0000000;Training;Pass
 59;5;1,00;0,0000000;Training;Pass
 63;5;1,00;0,0000000;Training;Pass
 64;5;0,80;0,4103913;Training;Pass
 65;5;1,00;0,0000000;Training;Pass
 66;5;0,85;0,3663475;Training;Pass
 69;5;1,00;0,0000000;Training;Pass
 71;5;0,35;0,4893605;Training;Fail
 72;5;0,95;0,2236068;Training;Pass
 73;5;1,00;0,0000000;Training;Pass
 76;5;1,00;0,0000000;Training;Pass
 78;5;0,90;0,3077935;Training;Pass
 81;5;0,95;0,2236068;Training;Pass
 82;5;1,00;0,0000000;Training;Pass
 83;5;0,60;0,5026247;Training;Fail
 84;5;0,85;0,3663475;Training;Pass
 88;5;0,95;0,2236068;Training;Pass
 89;5;1,00;0,0000000;Training;Pass
 90;5;0,70;0,4701623;Training;Pass
 91;5;0,85;0,3663475;Training;Pass
 95;5;1,00;0,0000000;Training;Pass
 96;5;0,95;0,2236068;Training;Pass
 99;5;0,95;0,2236068;Training;Pass
100;5;1,00;0,0000000;Training;Pass
101;5;1,00;0,0000000;Training;Pass
102;5;1,00;0,0000000;Training;Pass
105;5;1,00;0,0000000;Training;Pass
106;5;0,95;0,2236068;Training;Pass
109;5;1,00;0,0000000;Training;Pass
111;5;1,00;0,0000000;Training;Pass
112;5;1,00;0,0000000;Training;Pass
114;5;1,00;0,0000000;Training;Pass
115;5;0,95;0,2236068;Training;Pass
116;5;1,00;0,0000000;Training;Pass
117;5;1,00;0,0000000;Training;Pass
119;5;1,00;0,0000000;Training;Pass
121;5;1,00;0,0000000;Training;Pass
122;5;1,00;0,0000000;Training;Pass
125;5;0,60;0,5026247;Training;Fail
126;5;1,00;0,0000000;Training;Pass
127;5;1,00;0,0000000;Training;Pass
129;5;1,00;0,0000000;Training;Pass
131;5;0,95;0,2236068;Training;Pass
132;5;0,70;0,4701623;Training;Pass
133;5;1,00;0,0000000;Training;Pass
136;5;1,00;0,0000000;Training;Pass
137;5;1,00;0,0000000;Training;Pass
139;5;1,00;0,0000000;Training;Pass
141;5;0,90;0,3077935;Training;Pass
142;5;1,00;0,0000000;Training;Pass
144;5;0,95;0,2236068;Training;Pass
145;5;1,00;0,0000000;Training;Pass
147;5;1,00;0,0000000;Training;Pass
149;5;1,00;0,0000000;Training;Pass
151;5;1,00;0,0000000;Training;Pass
152;5;1,00;0,0000000;Training;Pass
153;5;0,95;0,2236068;Training;Pass
156;5;0,90;0,3077935;Training;Pass
157;5;1,00;0,0000000;Training;Pass
158;5;1,00;0,0000000;Training;Pass
159;5;1,00;0,0000000;Training;Pass
161;5;0,75;0,4442617;Training;Pass
162;5;1,00;0,0000000;Training;Pass
163;5;0,95;0,2236068;Training;Pass
164;5;0,15;0,3663475;Training;Fail
