subject;Age;Gender;task_order;training_performance;experimental_condition;stimulus_identity;Outcome_1_Pos_Neg;Outcome_1_Good_Bad;Outcome_1_Pleasant_Unpleasant;Outcome_1_Like_Dislike;Target_1_Pos_Neg;Target_1_Good_Bad;Target_1_Pleasant_Unpleasant;Target_1_Like_Dislike;Outcome_2_Pos_Neg;Outcome_2_Good_Bad;Outcome_2_Pleasant_Unpleasant;Outcome_2_Like_Dislike;Target_2_Pos_Neg;Target_2_Good_Bad;Target_2_Pleasant_Unpleasant;Target_2_Like_Dislike;Mean_Outcome_1;Mean_Outcome_2;Mean_Target_1;Mean_Target_2;OEC_Effect;IR_Effect;Transformed_OEC_Effect;Transformed_IR_Effect;Intentions_1_3_response;Intentions_2_4_response;stim_1_confidence;stim_2_confidence;stim_3_confidence;stim_4_confidence;Demand_response;Demand_recoded;reactance_question_1;reactance_question_2;believability_question_1;believability_question_2;IAT_D2;IAT_order;Reverse_Scored_IAT_D2;Transformed_IAT_D2
        2;35;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 4; 4; 4; 4;-3; 4;-3; 4;-3;-3;-3;-3;-3;-3; 4;-3; 4,00;-3,00; 0,50;-1,25;  7,00; 1,75;  7,00;  1,75;I would try Brand 1;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;no;NA;no;NA;-0,64190468;Learning_Inconsistent_First; 0,64190468; 0,64190468
        5;28;No Gender Info Provided;Explicits First;Fail;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 5; 5; 5; 5; 0; 0; 0; 0; 5; 5; 5; 5; 0,00; 0,00; 5,00; 5,00;  0,00; 0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brand 2;-5; 5;-5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;no;NA;yes;9=I very strongly believed it; 0,78142029;Learning_Consistent_First; 0,78142029; 0,78142029
        6;34;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 5; 5; 5; 5; 5; 5;-5;-5;-5;-5;-5;-5;-5;-5; 5,00;-5,00; 5,00;-5,00; 10,00;10,00; 10,00; 10,00;I would try Brand 1;I would try Brand 2; 5; 5;-5;-5;What I thought the experimenter wanted me to say;Demand Compliant;no;NA;yes;8;-0,01087521;Learning_Inconsistent_First; 0,01087521; 0,01087521
        8;23;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 1;-2;-1; 0;-2; 0;-1; 2; 2; 2; 2; 1; 1; 1; 1;-0,25; 2,00;-0,75; 1,00; -2,25;-1,75; -2,25; -1,75;I would try neither Brand;I would try Brand 4; 1; 2; 2; 2;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;3;no;NA; 0,53477740;Learning_Inconsistent_First;-0,53477740;-0,53477740
       11;33;F;Implicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00; 0,00;  0,00;  0,00;I don't know;I don't know; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;yes;9=I very strongly believed it; 0,10965084;Learning_Consistent_First; 0,10965084; 0,10965084
       14;25;F;Explicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 4; 3; 3; 4; 1; 2; 3; 2;-5;-4;-4;-5;-3;-3;-2;-3; 3,50;-4,50; 2,00;-2,75;  8,00; 4,75;  8,00;  4,75;I would try Brand 1;I would try neither Brand; 5; 1; 4;-1;What I learned during the experiment;Not Demand Compliant;yes;6;no;NA;-0,11009043;Learning_Inconsistent_First; 0,11009043; 0,11009043
       15;28;M;Implicits First;Pass;CC;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-2;-2;-2;-2; 0;-5; 0; 0;-5;-5;-5;-5;-5;-5;-5;-5;-2,00;-5,00;-1,25;-5,00;  3,00; 3,75;  3,00;  3,75;I would try neither Brand;I would try neither Brand;-2;-2;-2;-2;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,64383676;Learning_Consistent_First; 0,64383676; 0,64383676
       19;31;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-2;-2;-2;-3;-2; 2;-3; 3; 3; 2; 2;-3;-3;-3;-2;-2,25; 2,50;-1,50;-2,75; -4,75; 1,25;  4,75; -1,25;I would try Brand 3;I would try Brand 2; 1; 1; 2; 1;What I learned during the experiment;Not Demand Compliant;yes;6;yes;6; 0,53267272;Learning_Consistent_First; 0,53267272;-0,53267272
       23;35;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-5;-5;-5;-5; 5; 5; 5; 5; 5; 5; 5; 5;-5;-5;-5;-5;-5,00; 5,00; 5,00;-5,00;-10,00;10,00; 10,00;-10,00;I would try Brand 3;I would try Brand 2; 5; 5; 5; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA; 0,16576619;Learning_Consistent_First; 0,16576619;-0,16576619
       25;30;M;Explicits First;Pass;CC;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-2;-2;-2; 1; 1; 0; 0; 4; 3; 3; 3; 2; 3; 3; 2;-2,25; 3,25; 0,50; 2,50; -5,50;-2,00;  5,50;  2,00;I would try Brand 3;I would try Brands 2 and 4; 3; 3; 3; 3;What I learned during the experiment;Not Demand Compliant;yes;3;yes;4;-0,35961800;Learning_Consistent_First;-0,35961800; 0,35961800
