subject;stimulus_identity
        1;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
        2;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
        5;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
        6;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
        8;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
        9;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       11;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       14;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       15;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       16;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       18;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       19;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       23;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       24;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       25;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       26;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       27;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       28;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       29;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       31;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       32;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       34;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       35;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       36;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       40;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       41;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       42;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       43;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       46;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       47;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       48;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       49;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       53;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       56;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       57;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       59;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       61;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       62;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       63;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       65;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       69;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       71;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       72;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       74;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       75;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       76;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       77;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       78;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       79;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       80;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       81;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       82;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       83;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       84;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       85;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       87;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       88;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       90;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       92;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       93;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       94;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       95;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       96;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       98;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       99;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      100;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      102;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      103;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      104;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      105;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      110;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      111;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      112;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      114;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      116;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      117;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      118;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      119;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      120;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      121;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      122;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      123;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      124;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      127;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      128;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      129;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      131;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      133;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      135;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      138;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      139;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      141;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      143;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      145;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      147;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      149;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      150;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
