subject;block_number;mean_correct;sd_correct;block_type;training_performance;training_condition
        9;4;0,95;0,2236068;Counterconditioning;Pass;Counterconditioning_Condition
       11;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       16;4;0,95;0,2236068;Counterconditioning;Pass;Counterconditioning_Condition
       27;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       28;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       29;4;0,95;0,2236068;Counterconditioning;Pass;Counterconditioning_Condition
       30;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       31;4;0,95;0,2236068;Counterconditioning;Pass;Counterconditioning_Condition
       41;4;0,85;0,3663475;Counterconditioning;Pass;Counterconditioning_Condition
       43;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       44;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       46;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       47;4;0,80;0,4103913;Counterconditioning;Pass;Counterconditioning_Condition
       57;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       58;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       60;4;0,95;0,2236068;Counterconditioning;Pass;Counterconditioning_Condition
       61;4;0,95;0,2236068;Counterconditioning;Pass;Counterconditioning_Condition
       62;4;0,35;0,4893605;Counterconditioning;Fail;Counterconditioning_Condition
       64;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       73;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       75;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       76;4;0,95;0,2236068;Counterconditioning;Pass;Counterconditioning_Condition
       77;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       78;4;0,75;0,4442617;Counterconditioning;Pass;Counterconditioning_Condition
       79;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       90;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       91;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       92;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       93;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
       94;4;0,90;0,3077935;Counterconditioning;Pass;Counterconditioning_Condition
       95;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
      106;4;0,90;0,3077935;Counterconditioning;Pass;Counterconditioning_Condition
      109;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
      110;4;0,85;0,3663475;Counterconditioning;Pass;Counterconditioning_Condition
      111;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
      123;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
      125;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
      126;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
      127;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
      137;4;0,90;0,3077935;Counterconditioning;Pass;Counterconditioning_Condition
      141;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
      143;4;0,95;0,2236068;Counterconditioning;Pass;Counterconditioning_Condition
      153;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
      154;4;0,90;0,3077935;Counterconditioning;Pass;Counterconditioning_Condition
      157;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
      160;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
 52162361;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
343483196;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
514757468;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
547854617;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
617687584;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
800342016;4;0,95;0,2236068;Counterconditioning;Pass;Counterconditioning_Condition
950704713;4;1,00;0,0000000;Counterconditioning;Pass;Counterconditioning_Condition
