subject;Age;Gender;training_condition;task_order;training_performance;stimulus_identity;Outcome_1_Pos_Neg;Outcome_1_Good_Bad;Outcome_1_Pleasant_Unpleasant;Outcome_1_Like_Dislike;Target_1_Pos_Neg;Target_1_Good_Bad;Target_1_Pleasant_Unpleasant;Target_1_Like_Dislike;Outcome_2_Pos_Neg;Outcome_2_Good_Bad;Outcome_2_Pleasant_Unpleasant;Outcome_2_Like_Dislike;Target_2_Pos_Neg;Target_2_Good_Bad;Target_2_Pleasant_Unpleasant;Target_2_Like_Dislike;Mean_Outcome_1;Mean_Outcome_2;Mean_Target_1;Mean_Target_2;OEC_Effect;IR_Effect;Transformed_OEC_Effect;Transformed_IR_Effect;Intentions_1_3_response;Intentions_2_4_response;stim_1_confidence;stim_2_confidence;stim_3_confidence;stim_4_confidence;Demand_response;Demand_recoded;reactance_question_1;reactance_question_2;IAT_D2;IAT_order;Reverse_Scored_IAT_D2;Transformed_IAT_D2
  2;30;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I don't know;I don't know; 0; 0; 0; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,343792306;Learning_Inconsistent_First;-0,343792306;-0,343792306
  3;35;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 0; 5; 0; 5;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;7; 0,261016030;Learning_Consistent_First; 0,261016030; 0,261016030
  4;27;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-1;-2;-2; 0; 0; 1; 0; 0; 0; 0; 0; 1;-1;-1;-1;-1;-1,25; 0,25; 0,25;-1,00; -1,50;  1,25; -1,50;  1,25;I would try neither Brand;I would try Brand 2; 3; 1;-3; 2;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;8; 0,123893295;Learning_Inconsistent_First;-0,123893295;-0,123893295
  6;33;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0,00; 0,25; 0,00; 0,00; -0,25;  0,00;  0,25;  0,00;I don't know;I would try Brands 2 and 4;-4; 4;-4; 4;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,337264267;Learning_Inconsistent_First;-0,337264267; 0,337264267
  8;35;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2;-2;-2;-2; 3; 3; 3; 3; 3; 3; 3; 3;-2;-2;-2;-2;-2,00; 3,00; 3,00;-2,00; -5,00;  5,00;  5,00; -5,00;I would try Brand 3;I would try Brand 2; 1; 2; 1; 1;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;2; 0,016003810;Learning_Inconsistent_First;-0,016003810; 0,016003810
  9;36;M;Acquisition_Only;Explicits First;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brand 4; 0; 0; 0; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;-0,089314658;Learning_Consistent_First;-0,089314658;-0,089314658
 11;34;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 0; 0; 0; 1; 1; 0; 1; 1; 2; 1; 2;-1;-2;-1;-1; 0,25; 1,50; 0,75;-1,25; -1,25;  2,00; -1,25;  2,00;I would try Brand 1;I would try Brand 2; 1; 2; 3;-2;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;-0,100639071;Learning_Consistent_First;-0,100639071;-0,100639071
 13;31;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 2; 2; 2; 2; 0; 0; 0; 0; 2; 1; 1; 1; 0; 0; 0; 0; 2,00; 1,25; 0,00; 0,00;  0,75;  0,00; -0,75;  0,00;I would try Brand 3;I would try Brand 2; 0; 0; 0; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,086083107;Learning_Consistent_First; 0,086083107;-0,086083107
 14;32;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 5; 5; 5; 5; 2; 2; 2; 2; 4; 4; 4; 4; 0,00; 2,00; 5,00; 4,00; -2,00;  1,00;  2,00; -1,00;I would try Brand 3;I would try Brand 4; 0; 2; 1; 1;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;7; 0,364689402;Learning_Inconsistent_First;-0,364689402; 0,364689402
 15;25;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-3;-3;-3; 0; 0; 0; 0;-1;-1;-1;-1; 2; 2; 2; 2;-3,00;-1,00; 0,00; 2,00; -2,00; -2,00;  2,00;  2,00;I would try neither Brand;I would try neither Brand; 3; 4;-2; 2;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;3; 0,569251063;Learning_Consistent_First; 0,569251063;-0,569251063
 17;29;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-2;-2;-3;-2; 2; 2; 2; 2;-2;-2;-2;-2; 3; 3; 4; 3;-2,25;-2,00; 2,00; 3,25; -0,25; -1,25; -0,25; -1,25;I don't know;I would try Brand 4; 2; 3;-1; 1;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;2; 0,483376554;Learning_Consistent_First; 0,483376554; 0,483376554
 23;31;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 2; 2; 2; 2; 0; 0; 0; 0;-1;-1;-1;-1; 0,00; 0,00; 2,00;-1,00;  0,00;  3,00;  0,00; -3,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 0; 0; 0; 0;What I learned during the experiment;Not Demand Compliant;yes;4; 0,630308315;Learning_Consistent_First; 0,630308315;-0,630308315
 25;27;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 0; 1; 0; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;-0,102036485;Learning_Consistent_First;-0,102036485;-0,102036485
 27;25;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 4; 4; 3; 3; 3; 4;-3;-4;-4;-4;-3;-3;-4;-4; 3,50;-3,75; 3,25;-3,50;  7,25;  6,75;  7,25;  6,75;I would try Brand 1;I would try Brand 2; 4; 3; 4; 3;What I learned during the experiment;Not Demand Compliant;yes;7;-0,159443868;Learning_Consistent_First;-0,159443868;-0,159443868
 31;27;F;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-3;-3;-3;-1;-1;-1;-1; 3; 3; 3; 3; 1; 1; 0; 1;-3,00; 3,00;-1,00; 0,75; -6,00; -1,75;  6,00;  1,75;I would try Brand 3;I would try Brand 4;-2;-3;-2;-3;What I learned during the experiment;Not Demand Compliant;yes;4; 0,333494414;Learning_Consistent_First; 0,333494414;-0,333494414
 35;33;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 5; 5; 5; 5; 5; 5;-5;-5;-5;-5;-5;-5;-5;-5; 5,00;-5,00; 5,00;-5,00; 10,00; 10,00; 10,00; 10,00;I would try Brand 1;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;2; 0,482006933;Learning_Consistent_First; 0,482006933; 0,482006933
 36;26;M;Acquisition_Only;Implicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 1; 1; 1;-1;-1;-2;-1;-1;-1; 1;-1; 1; 1;-1; 1; 1,00;-0,50;-1,25; 0,50;  1,50; -1,75;  1,50; -1,75;I would try Brands 1 and 3;I would try Brands 2 and 4; 3; 3; 3; 3;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,259373364;Learning_Inconsistent_First;-0,259373364;-0,259373364
 41;20;M;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 1; 1; 1; 1; 2; 1; 1; 0;-1; 0; 0; 1; 1; 0; 1; 1,00;-0,25; 1,25; 0,75;  1,25;  0,50;  1,25;  0,50;I would try neither Brand;I would try Brand 4; 0; 0; 0; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt; 0,333510106;Learning_Consistent_First; 0,333510106; 0,333510106
 47;20;M;Acquisition_Only;Implicits First;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 2; 2; 2; 3; 0; 0;-1; 0; 2;-2;-2;-2; 0,00;-0,25; 2,25;-1,00;  0,25;  3,25; -0,25; -3,25;I don't know;I don't know; 0; 0; 0; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;4; 0,393682189;Learning_Consistent_First; 0,393682189;-0,393682189
 53;28;F;Acquisition_Only;Explicits First;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00;  0,00;  0,00;I would try neither Brand;I would try Brand 4; 2; 2; 2; 2;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;4; 0,231263723;Learning_Consistent_First; 0,231263723;-0,231263723
