subject;block_number;training_condition;mean_correct;sd_correct;training_performance;block_type
  2; 9;Acquisition_Only;1,000;0,0000000;Pass;Training
  2; 8;Extinction;0,250;0,4442617;Fail;Training
  3; 7;Acquisition_Only;0,950;0,2236068;Pass;Training
  3; 8;Extinction;0,850;0,3663475;Pass;Training
  4; 8;Acquisition_Only;0,900;0,3077935;Pass;Training
  4; 7;Counterconditioning;0,950;0,2236068;Pass;Training
  4; 7;Extinction;0,950;0,2236068;Pass;Training
  5; 7;Counterconditioning;0,900;0,3077935;Pass;Training
  6; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
  6; 8;Counterconditioning;0,700;0,4701623;Pass;Training
  7; 8;Counterconditioning;0,750;0,4442617;Pass;Training
  7; 8;Extinction;0,500;0,5129892;Fail;Training
  8; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
  8; 7;Extinction;1,000;0,0000000;Pass;Training
  9; 8;Acquisition_Only;0,650;0,4893605;Fail;Training
  9; 7;Extinction;1,000;0,0000000;Pass;Training
 10; 7;Acquisition_Only;0,950;0,2236068;Pass;Training
 11; 7;Acquisition_Only;0,850;0,3663475;Pass;Training
 11; 7;Extinction;1,000;0,0000000;Pass;Training
 12; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 12; 7;Extinction;1,000;0,0000000;Pass;Training
 13; 7;Acquisition_Only;0,900;0,3077935;Pass;Training
 14; 7;Acquisition_Only;0,900;0,3077935;Pass;Training
 14; 7;Counterconditioning;0,900;0,3077935;Pass;Training
 15; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 15; 7;Extinction;1,000;0,0000000;Pass;Training
 16; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 17; 8;Acquisition_Only;0,700;0,4701623;Pass;Training
 17; 8;Extinction;0,600;0,5026247;Fail;Training
 18; 8;Extinction;1,000;0,0000000;Pass;Training
 20; 8;Counterconditioning;0,900;0,3077935;Pass;Training
 20; 8;Extinction;0,850;0,3663475;Pass;Training
 22; 7;Acquisition_Only;0,950;0,2236068;Pass;Training
 22; 8;Extinction;0,900;0,3077935;Pass;Training
 23; 7;Acquisition_Only;0,900;0,3077935;Pass;Training
 23; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 23; 8;Extinction;0,050;0,2236068;Fail;Training
 24; 8;Extinction;0,100;0,3077935;Fail;Training
 25;10;Acquisition_Only;0,950;0,2236068;Pass;Training
 27; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 27; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 27; 8;Extinction;0,550;0,5104178;Fail;Training
 28; 8;Acquisition_Only;0,400;0,5026247;Fail;Training
 28; 7;Counterconditioning;0,850;0,3663475;Pass;Training
 29; 7;Extinction;1,000;0,0000000;Pass;Training
 30;10;Extinction;0,950;0,2236068;Pass;Training
 31; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 31; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 31; 7;Extinction;1,000;0,0000000;Pass;Training
 32; 8;Counterconditioning;0,350;0,4893605;Fail;Training
 34; 7;Extinction;0,950;0,2236068;Pass;Training
 35; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 35; 7;Extinction;1,000;0,0000000;Pass;Training
 36; 8;Acquisition_Only;0,900;0,3077935;Pass;Training
 36; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 36; 7;Extinction;1,000;0,0000000;Pass;Training
 38; 7;Extinction;1,000;0,0000000;Pass;Training
 39; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 39; 7;Extinction;1,000;0,0000000;Pass;Training
 40; 7;Extinction;1,000;0,0000000;Pass;Training
 41; 7;Acquisition_Only;0,900;0,3077935;Pass;Training
 41; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 41; 8;Extinction;0,100;0,3077935;Fail;Training
 42; 7;Extinction;1,000;0,0000000;Pass;Training
 43; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 43; 7;Extinction;0,850;0,3663475;Pass;Training
 44; 8;Counterconditioning;0,750;0,4442617;Pass;Training
 44; 8;Extinction;0,950;0,2236068;Pass;Training
 45; 7;Counterconditioning;0,950;0,2236068;Pass;Training
 47; 8;Acquisition_Only;0,600;0,5026247;Fail;Training
 49; 7;Counterconditioning;0,850;0,3663475;Pass;Training
 49; 7;Extinction;1,000;0,0000000;Pass;Training
 50; 7;Extinction;1,000;0,0000000;Pass;Training
 51; 7;Acquisition_Only;0,950;0,2236068;Pass;Training
 51; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 51; 8;Extinction;0,750;0,4442617;Pass;Training
 53; 8;Acquisition_Only;1,000;0,0000000;Pass;Training
 53; 7;Counterconditioning;0,900;0,3077935;Pass;Training
 53; 8;Extinction;0,700;0,4701623;Pass;Training
 55; 8;Acquisition_Only;0,950;0,2236068;Pass;Training
 56; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 57; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 57; 7;Extinction;1,000;0,0000000;Pass;Training
 58; 8;Extinction;0,150;0,3663475;Fail;Training
 59; 8;Acquisition_Only;0,700;0,4701623;Pass;Training
 59; 7;Extinction;1,000;0,0000000;Pass;Training
 60; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 60; 8;Counterconditioning;0,900;0,3077935;Pass;Training
 61; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 63;10;Extinction;1,000;0,0000000;Pass;Training
 64; 7;Extinction;0,900;0,3077935;Pass;Training
 65; 8;Extinction;0,650;0,4893605;Fail;Training
 66; 8;Acquisition_Only;0,450;0,5104178;Fail;Training
 66; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 67; 8;Acquisition_Only;0,650;0,4893605;Fail;Training
 67; 7;Extinction;1,000;0,0000000;Pass;Training
 68; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 68; 8;Extinction;0,200;0,4103913;Fail;Training
 69; 7;Acquisition_Only;0,950;0,2236068;Pass;Training
 69; 7;Extinction;0,900;0,3077935;Pass;Training
 70; 8;Acquisition_Only;0,750;0,4442617;Pass;Training
 71; 7;Acquisition_Only;0,900;0,3077935;Pass;Training
 71; 8;Extinction;0,150;0,3663475;Fail;Training
 73; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 74; 7;Acquisition_Only;0,950;0,2236068;Pass;Training
 74; 7;Extinction;0,850;0,3663475;Pass;Training
 75; 7;Extinction;1,000;0,0000000;Pass;Training
 76; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 77; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 77; 7;Extinction;1,000;0,0000000;Pass;Training
 78; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 79; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 80; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 80;10;Counterconditioning;0,250;0,4442617;Fail;Training
 81; 8;Acquisition_Only;0,200;0,4103913;Fail;Training
 83; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 83; 7;Extinction;1,000;0,0000000;Pass;Training
 85;13;Acquisition_Only;0,900;0,3077935;Pass;Training
 86; 7;Extinction;1,000;0,0000000;Pass;Training
 87; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 87; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 88; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 88; 7;Extinction;0,950;0,2236068;Pass;Training
 89; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 89; 7;Extinction;0,950;0,2236068;Pass;Training
 90; 8;Acquisition_Only;0,200;0,4103913;Fail;Training
 91; 7;Extinction;0,950;0,2236068;Pass;Training
 92; 8;Acquisition_Only;0,650;0,4893605;Fail;Training
 92; 8;Extinction;0,400;0,5026247;Fail;Training
 93; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 94; 7;Acquisition_Only;0,900;0,3077935;Pass;Training
 94; 7;Counterconditioning;1,000;0,0000000;Pass;Training
 94; 7;Extinction;1,000;0,0000000;Pass;Training
 95; 8;Acquisition_Only;0,600;0,5026247;Fail;Training
 95; 7;Extinction;0,900;0,3077935;Pass;Training
 96; 8;Acquisition_Only;0,600;0,5026247;Fail;Training
 96; 7;Counterconditioning;0,950;0,2236068;Pass;Training
 96; 7;Extinction;1,000;0,0000000;Pass;Training
 97; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
 98; 7;Acquisition_Only;0,850;0,3663475;Pass;Training
 99; 7;Acquisition_Only;0,850;0,3663475;Pass;Training
 99; 7;Extinction;1,000;0,0000000;Pass;Training
100; 7;Acquisition_Only;0,950;0,2236068;Pass;Training
100; 7;Extinction;1,000;0,0000000;Pass;Training
101; 8;Extinction;0,200;0,4103913;Fail;Training
102; 8;Acquisition_Only;0,900;0,3077935;Pass;Training
104; 8;Counterconditioning;0,800;0,4103913;Pass;Training
105;10;Acquisition_Only;1,000;0,0000000;Pass;Training
105; 7;Extinction;1,000;0,0000000;Pass;Training
107; 8;Extinction;0,950;0,2236068;Pass;Training
109; 8;Acquisition_Only;1,000;0,0000000;Pass;Training
111; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
112; 7;Acquisition_Only;0,950;0,2236068;Pass;Training
113; 7;Extinction;1,000;0,0000000;Pass;Training
114; 9;Acquisition_Only;0,900;0,3077935;Pass;Training
115; 8;Counterconditioning;0,250;0,4442617;Fail;Training
115; 8;Extinction;0,600;0,5026247;Fail;Training
117; 7;Extinction;1,000;0,0000000;Pass;Training
118; 7;Extinction;1,000;0,0000000;Pass;Training
119; 7;Extinction;0,850;0,3663475;Pass;Training
120; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
121; 8;Acquisition_Only;0,550;0,5104178;Fail;Training
122; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
122; 7;Counterconditioning;1,000;0,0000000;Pass;Training
122; 7;Extinction;0,900;0,3077935;Pass;Training
123; 8;Acquisition_Only;0,900;0,3077935;Pass;Training
124; 8;Acquisition_Only;0,650;0,4893605;Fail;Training
124; 8;Extinction;0,750;0,4442617;Pass;Training
125; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
125; 7;Extinction;1,000;0,0000000;Pass;Training
126; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
126; 8;Extinction;0,900;0,3077935;Pass;Training
127; 7;Acquisition_Only;0,950;0,2236068;Pass;Training
127; 7;Extinction;1,000;0,0000000;Pass;Training
128; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
128; 7;Extinction;0,950;0,2236068;Pass;Training
129; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
130; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
130; 8;Extinction;0,850;0,3663475;Pass;Training
131; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
131; 7;Extinction;0,950;0,2236068;Pass;Training
132; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
132; 7;Counterconditioning;1,000;0,0000000;Pass;Training
132; 8;Extinction;0,650;0,4893605;Fail;Training
133; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
133; 8;Counterconditioning;0,700;0,4701623;Pass;Training
133; 8;Extinction;0,550;0,5104178;Fail;Training
134; 8;Acquisition_Only;0,250;0,4442617;Fail;Training
134; 7;Counterconditioning;1,000;0,0000000;Pass;Training
134; 8;Extinction;1,000;0,0000000;Pass;Training
135; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
135; 7;Extinction;1,000;0,0000000;Pass;Training
136; 8;Acquisition_Only;0,750;0,4442617;Pass;Training
137; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
137; 7;Counterconditioning;1,000;0,0000000;Pass;Training
137; 7;Extinction;1,000;0,0000000;Pass;Training
138; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
138; 7;Extinction;1,000;0,0000000;Pass;Training
139; 7;Acquisition_Only;0,950;0,2236068;Pass;Training
139; 7;Extinction;1,000;0,0000000;Pass;Training
140; 7;Counterconditioning;1,000;0,0000000;Pass;Training
141; 7;Extinction;1,000;0,0000000;Pass;Training
143; 8;Acquisition_Only;0,900;0,3077935;Pass;Training
143; 7;Counterconditioning;1,000;0,0000000;Pass;Training
143; 7;Extinction;1,000;0,0000000;Pass;Training
144; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
145; 7;Extinction;1,000;0,0000000;Pass;Training
146; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
146; 7;Extinction;1,000;0,0000000;Pass;Training
147; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
147; 7;Extinction;1,000;0,0000000;Pass;Training
148; 8;Counterconditioning;0,700;0,4701623;Pass;Training
149; 7;Acquisition_Only;0,950;0,2236068;Pass;Training
149; 7;Extinction;1,000;0,0000000;Pass;Training
150; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
151; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
151; 8;Counterconditioning;0,700;0,4701623;Pass;Training
152; 8;Acquisition_Only;0,550;0,5104178;Fail;Training
154; 8;Acquisition_Only;0,600;0,5026247;Fail;Training
154; 7;Counterconditioning;1,000;0,0000000;Pass;Training
154; 8;Extinction;0,900;0,3077935;Pass;Training
155; 7;Extinction;1,000;0,0000000;Pass;Training
156; 8;Acquisition_Only;1,000;0,0000000;Pass;Training
156;10;Extinction;0,600;0,5026247;Fail;Training
157; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
157; 7;Counterconditioning;0,950;0,2236068;Pass;Training
158; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
159; 8;Acquisition_Only;0,900;0,3077935;Pass;Training
160; 8;Counterconditioning;1,000;0,0000000;Pass;Training
162;10;Acquisition_Only;0,250;0,4442617;Fail;Training
163; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
163; 7;Counterconditioning;0,900;0,3077935;Pass;Training
164; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
164; 8;Extinction;0,600;0,5026247;Fail;Training
165; 7;Acquisition_Only;0,850;0,3663475;Pass;Training
165; 7;Extinction;1,000;0,0000000;Pass;Training
166; 7;Counterconditioning;1,000;0,0000000;Pass;Training
167; 7;Counterconditioning;1,000;0,0000000;Pass;Training
168; 8;Acquisition_Only;0,450;0,5104178;Fail;Training
169; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
169; 9;Counterconditioning;1,000;0,0000000;Pass;Training
169; 7;Extinction;1,000;0,0000000;Pass;Training
170; 7;Counterconditioning;1,000;0,0000000;Pass;Training
171; 7;Acquisition_Only;0,950;0,2236068;Pass;Training
171; 7;Extinction;0,900;0,3077935;Pass;Training
172; 7;Extinction;1,000;0,0000000;Pass;Training
173; 8;Acquisition_Only;0,400;0,5026247;Fail;Training
174; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
174; 7;Extinction;1,000;0,0000000;Pass;Training
177; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
177; 8;Counterconditioning;0,100;0,3077935;Fail;Training
178; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
178; 7;Extinction;0,850;0,3663475;Pass;Training
179; 8;Acquisition_Only;0,950;0,2236068;Pass;Training
179; 9;Extinction;0,950;0,2236068;Pass;Training
180; 7;Counterconditioning;0,900;0,3077935;Pass;Training
180; 7;Extinction;1,000;0,0000000;Pass;Training
181; 9;Acquisition_Only;0,900;0,3077935;Pass;Training
182; 8;Acquisition_Only;0,350;0,4893605;Fail;Training
182; 7;Extinction;0,950;0,2236068;Pass;Training
183; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
183; 7;Extinction;1,000;0,0000000;Pass;Training
184;11;Acquisition_Only;1,000;0,0000000;Pass;Training
184; 7;Extinction;1,000;0,0000000;Pass;Training
185; 7;Extinction;0,950;0,2236068;Pass;Training
186; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
186; 7;Extinction;0,850;0,3663475;Pass;Training
187; 8;Acquisition_Only;0,950;0,2236068;Pass;Training
187; 7;Extinction;0,975;0,1581139;Pass;Training
188; 9;Acquisition_Only;1,000;0,0000000;Pass;Training
189; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
190; 7;Acquisition_Only;1,000;0,0000000;Pass;Training
191; 8;Counterconditioning;0,600;0,5026247;Fail;Training
191; 7;Extinction;0,950;0,2236068;Pass;Training
192; 8;Acquisition_Only;0,200;0,4103913;Fail;Training
192; 7;Extinction;0,900;0,3077935;Pass;Training
194; 7;Extinction;1,000;0,0000000;Pass;Training
195; 8;Acquisition_Only;0,250;0,4442617;Fail;Training
195; 7;Counterconditioning;1,000;0,0000000;Pass;Training
196; 8;Acquisition_Only;0,750;0,4442617;Pass;Training
196; 7;Counterconditioning;0,900;0,3077935;Pass;Training
197; 8;Acquisition_Only;0,700;0,4701623;Pass;Training
197; 7;Extinction;1,000;0,0000000;Pass;Training
198; 7;Counterconditioning;0,950;0,2236068;Pass;Training
199; 8;Extinction;0,800;0,4103913;Pass;Training
201; 8;Extinction;0,550;0,5104178;Fail;Training
204; 7;Counterconditioning;1,000;0,0000000;Pass;Training
205; 7;Counterconditioning;1,000;0,0000000;Pass;Training
205; 8;Extinction;0,400;0,5026247;Fail;Training
206;10;Extinction;0,950;0,2236068;Pass;Training
207; 9;Extinction;1,000;0,0000000;Pass;Training
208; 7;Counterconditioning;1,000;0,0000000;Pass;Training
208; 7;Extinction;1,000;0,0000000;Pass;Training
211; 8;Extinction;0,150;0,3663475;Fail;Training
213; 7;Extinction;1,000;0,0000000;Pass;Training
214; 8;Extinction;0,200;0,4103913;Fail;Training
215; 7;Extinction;1,000;0,0000000;Pass;Training
217; 7;Extinction;0,900;0,3077935;Pass;Training
218; 7;Extinction;1,000;0,0000000;Pass;Training
219; 8;Extinction;0,250;0,4442617;Fail;Training
220; 8;Extinction;0,900;0,3077935;Pass;Training
223; 7;Extinction;1,000;0,0000000;Pass;Training
231; 7;Counterconditioning;0,950;0,2236068;Pass;Training
237; 8;Counterconditioning;0,600;0,5026247;Fail;Training
238; 7;Counterconditioning;1,000;0,0000000;Pass;Training
239; 7;Counterconditioning;1,000;0,0000000;Pass;Training
246; 8;Counterconditioning;0,200;0,4103913;Fail;Training
248; 7;Counterconditioning;0,950;0,2236068;Pass;Training
250; 7;Counterconditioning;1,000;0,0000000;Pass;Training
254; 7;Counterconditioning;1,000;0,0000000;Pass;Training
256; 7;Counterconditioning;0,900;0,3077935;Pass;Training
261; 7;Counterconditioning;0,950;0,2236068;Pass;Training
