subject;Age;Gender;task_order;training_performance;experimental_condition;stimulus_identity;Outcome_1_Pos_Neg;Outcome_1_Good_Bad;Outcome_1_Pleasant_Unpleasant;Outcome_1_Like_Dislike;Target_1_Pos_Neg;Target_1_Good_Bad;Target_1_Pleasant_Unpleasant;Target_1_Like_Dislike;Outcome_2_Pos_Neg;Outcome_2_Good_Bad;Outcome_2_Pleasant_Unpleasant;Outcome_2_Like_Dislike;Target_2_Pos_Neg;Target_2_Good_Bad;Target_2_Pleasant_Unpleasant;Target_2_Like_Dislike;Mean_Outcome_1;Mean_Outcome_2;Mean_Target_1;Mean_Target_2;OEC_Effect;IR_Effect;Transformed_OEC_Effect;Transformed_IR_Effect;Intentions_1_3_response;Intentions_2_4_response;stim_1_confidence;stim_2_confidence;stim_3_confidence;stim_4_confidence;Demand_response;Demand_recoded;reactance_question_1;reactance_question_2;believability_question_1;believability_question_2;IAT_D2;IAT_order;Reverse_Scored_IAT_D2;Transformed_IAT_D2
  4;29;F;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 5; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2,50; 0,00; 0,00; 0,00;  2,50;  0,00; 2,50; 0,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 0; 5; 0; 5;What I learned during the experiment;Not Demand Compliant;no;NA;no;NA; 0,384142189;Learning_Inconsistent_First;-0,384142189;-0,384142189
  5;33;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 4; 4; 4; 4; 4; 4; 4; 4;-4;-4;-5;-4;-5;-5;-5;-5; 4,00;-4,25; 4,00;-5,00;  8,25;  9,00; 8,25; 9,00;I would try Brand 1;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA; 0,365546802;Learning_Consistent_First; 0,365546802; 0,365546802
  6;36;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 4; 4; 3; 3; 2; 3; 2; 2;-4;-3;-4;-4;-3;-3;-2;-1; 3,50;-3,75; 2,25;-2,25;  7,25;  4,50; 7,25; 4,50;I would try Brand 1;I would try Brand 2; 4; 3; 4; 4;What I learned during the experiment;Not Demand Compliant;yes;4;yes;7;-0,317414923;Learning_Inconsistent_First; 0,317414923; 0,317414923
  7;29;F;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 3; 2; 2; 2; 2;-3;-3;-3;-3;-3;-3;-3;-3; 3,00;-3,00; 2,00;-3,00;  6,00;  5,00; 6,00; 5,00;I would try Brand 1;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA; 0,532619386;Learning_Consistent_First; 0,532619386; 0,532619386
  8;35;F;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00; 0,00; 0,00;I would try neither Brand;I would try neither Brand; 0; 0; 0; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;no;NA;yes;7; 0,244331352;Learning_Inconsistent_First;-0,244331352;-0,244331352
  9;31;M;Explicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 4; 4; 4; 4; 3; 4; 4;-4;-3;-3;-3;-3;-3;-3;-4; 3,75;-3,25; 3,75;-3,25;  7,00;  7,00; 7,00; 7,00;I would try Brand 1;I would try Brand 2; 4; 4; 3; 4;What I learned during the experiment;Not Demand Compliant;yes;6;yes;7; 0,767616643;Learning_Consistent_First; 0,767616643; 0,767616643
 11;38;M;Implicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 1; 1; 1; 2; 2; 2; 2;-2;-2;-2;-2;-2;-2;-2;-2; 1,00;-2,00; 2,00;-2,00;  3,00;  4,00; 3,00; 4,00;I would try Brand 3;I would try Brand 2; 1; 2;-1; 0;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;2;no;NA; 0,712921108;Learning_Consistent_First; 0,712921108; 0,712921108
 12;37;F;Implicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 3; 3; 2; 3; 3;-3;-3;-3;-3;-3;-3;-3;-3; 3,00;-3,00; 2,75;-3,00;  6,00;  5,75; 6,00; 5,75;I would try Brand 1;I would try Brands 2 and 4; 3; 3;-3;-3;What I learned during the experiment;Not Demand Compliant;yes;3;no;NA; 0,177211581;Learning_Inconsistent_First;-0,177211581;-0,177211581
 14;27;M;Explicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 4; 4; 4; 4; 4; 4; 4; 4;-3;-3;-3;-3;-3;-3;-3;-3; 4,00;-3,00; 4,00;-3,00;  7,00;  7,00; 7,00; 7,00;I would try Brand 1;I would try Brand 2; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA;-0,913459266;Learning_Inconsistent_First; 0,913459266; 0,913459266
 16;24;F;Implicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 1; 3; 4; 2;-1;-1;-1;-1;-2;-1;-1;-3; 0; 0; 0; 0; 2,50;-1,75;-1,00; 0,00;  4,25; -1,00; 4,25;-1,00;I would try Brand 1;I would try Brand 4; 4; 3; 4; 3;What I learned during the experiment;Not Demand Compliant;yes;3;no;NA; 0,387978977;Learning_Inconsistent_First;-0,387978977;-0,387978977
 17;31;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-3;-3;-3;-3;-3;-3;-3; 3; 3; 3; 3; 3; 3; 3; 3;-3,00; 3,00;-3,00; 3,00; -6,00; -6,00; 6,00; 6,00;I would try Brand 3;I would try Brand 4; 3; 3; 3; 3;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA;-0,457716337;Learning_Consistent_First;-0,457716337; 0,457716337
 18;38;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-5;-5;-5;-5; 0; 0; 0; 0; 5; 5; 5; 5; 0; 0; 0; 0;-5,00; 5,00; 0,00; 0,00;-10,00;  0,00;10,00; 0,00;I would try Brand 3;I would try Brands 2 and 4; 5; 0; 5; 0;What I learned during the experiment;Not Demand Compliant;yes;2;yes;9=I very strongly believed it; 0,874508457;Learning_Inconsistent_First;-0,874508457; 0,874508457
 19;35;M;Implicits First;Fail;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 3; 3; 3; 4; 3; 4; 2; 3; 3; 2; 3; 3;-3;-2;-3;-2; 3,25; 2,75; 3,00;-2,50;  0,50;  5,50;-0,50;-5,50;I would try Brands 1 and 3;I would try Brand 2; 4; 5; 4; 4;What I learned during the experiment;Not Demand Compliant;no;NA;yes;6; 0,001965256;Learning_Consistent_First; 0,001965256;-0,001965256
 21;37;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1;-1;-1;-1; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0;-1,00; 1,00; 0,00; 0,00; -2,00;  0,00; 2,00; 0,00;I would try Brand 3;I would try Brands 2 and 4; 1; 1; 1; 1;What I learned during the experiment;Not Demand Compliant;yes;7;yes;5=I moderately believed it;-0,162641702;Learning_Consistent_First;-0,162641702; 0,162641702
 23;29;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-5;-5;-4;-5;-3;-4;-4;-4; 3; 4; 4; 5; 3; 4; 3; 3;-4,75; 4,00;-3,75; 3,25; -8,75; -7,00; 8,75; 7,00;I would try Brand 3;I would try Brand 4; 5; 3; 5; 3;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA; 0,343803697;Learning_Consistent_First; 0,343803697;-0,343803697
 24;33;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 1; 2; 1; 2; 1; 2; 2; 2;-1;-1;-1;-1; 0,00; 1,75; 1,50;-1,00; -1,75;  2,50; 1,75;-2,50;I would try Brand 3;I would try Brand 2; 3; 3; 3; 3;What I learned during the experiment;Not Demand Compliant;no;NA;no;NA; 0,013833330;Learning_Inconsistent_First;-0,013833330; 0,013833330
 27;18;F;Implicits First;Fail;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 4; 4; 4; 4; 3; 3; 2; 2; 1; 1; 2; 1; 3; 0; 2; 0; 4,00; 1,25; 2,50; 1,25;  2,75;  1,25;-2,75;-1,25;I would try Brand 1;I would try Brand 4; 4; 3; 2; 4;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;no;NA;no;NA;-0,257562197;Learning_Consistent_First;-0,257562197; 0,257562197
 28;34;F;Implicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 4; 4; 4; 4; 3; 3; 3; 3;-4;-4;-4;-4;-3;-3;-3;-3; 4,00;-4,00; 3,00;-3,00;  8,00;  6,00;-8,00;-6,00;I would try Brand 1;I don't know; 2; 2; 2; 2;What I learned during the experiment;Not Demand Compliant;yes;3;yes;8;-0,002153890;Learning_Inconsistent_First; 0,002153890;-0,002153890
 30;30;M;Explicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-3;-3;-3;-3;-2;-2;-2;-2; 1; 1; 1; 1; 1; 1; 1; 1;-3,00; 1,00;-2,00; 1,00; -4,00; -3,00; 4,00; 3,00;I would try Brand 3;I would try Brand 4; 5; 3; 5; 3;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;no;NA; 0,747906711;Learning_Inconsistent_First;-0,747906711; 0,747906711
 32;24;M;Implicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-4;-2;-3;-2; 4; 4; 4; 4; 4; 5; 5; 5; 2;-4;-4;-4;-2,75; 4,75; 4,00;-2,50; -7,50;  6,50; 7,50;-6,50;I would try Brand 3;I would try Brands 2 and 4; 5; 3; 5; 2;What I learned during the experiment;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;yes;5=I moderately believed it; 0,210616207;Learning_Inconsistent_First;-0,210616207; 0,210616207
 33;25;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,00; 0,00; 0,00; 0,00;  0,00;  0,00; 0,00; 0,00;I would try Brand 1;I would try Brand 4; 3; 3; 3; 3;I based my ratings on some some factor that was not what I learned or what the experimenter wanted me to do;Not Demand Compliant;yes;9=I very strongly resisted your attempts to influence how I felt;no;NA;-0,123363443;Learning_Consistent_First;-0,123363443;-0,123363443
 35;36;F;Implicits First;Fail;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0;-2; 0; 0;-2;-3;-2;-2; 0; 0; 0; 0; 2; 1; 2; 2;-0,50; 0,00;-2,25; 1,75; -0,50; -4,00;-0,50;-4,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 0;-3;-4; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;2;no;NA;-0,196187685;Learning_Consistent_First;-0,196187685;-0,196187685
 36;37;F;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 1; 1; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0,75; 0,50; 0,00; 0,00;  0,25;  0,00; 0,25; 0,00;I don't know;I don't know; 1; 3; 3; 3;What I learned during the experiment;Not Demand Compliant;no;NA;no;NA; 0,181021083;Learning_Inconsistent_First;-0,181021083;-0,181021083
 37;29;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 3; 3; 3; 3; 3;-3;-3;-3;-3;-3;-3;-3;-3; 3,00;-3,00; 3,00;-3,00;  6,00;  6,00; 6,00; 6,00;I would try Brand 1;I would try Brand 2; 3; 3; 3; 3;What I learned during the experiment;Not Demand Compliant;yes;3;no;NA; 0,754296119;Learning_Consistent_First; 0,754296119; 0,754296119
 39;20;M;Implicits First;Fail;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;-1; 0; 1; 2;-1; 0; 1; 0; 0; 2; 0;-2; 2;-1;-2; 0; 0,50; 0,00; 0,00;-0,25;  0,50;  0,25; 0,50; 0,25;I would try Brand 1;I would try Brand 4;-2;-2;-2;-2;What I learned during the experiment;Not Demand Compliant;yes;3;yes;1=I slightly believed it; 0,098994037;Learning_Consistent_First; 0,098994037; 0,098994037
 43;36;F;Implicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 2; 2; 1; 0; 0; 1; 1; 1; 1; 0; 0; 1; 0; 0; 1; 1; 1,25; 0,50; 0,75; 0,50;  0,75;  0,25; 0,75; 0,25;I would try Brands 1 and 3;I would try Brands 2 and 4; 1; 1; 1; 1;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA;-0,012445145;Learning_Consistent_First;-0,012445145;-0,012445145
 45;33;M;Explicits First;Pass;EX;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 0; 1; 1; 0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0,50; 0,50; 0,50; 0,25;  0,00;  0,25; 0,00; 0,25;I would try Brands 1 and 3;I would try Brands 2 and 4; 1; 1; 1; 1;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;yes;6;-0,381080167;Learning_Consistent_First;-0,381080167;-0,381080167
 49;33;M;Explicits First;Fail;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 2; 2; 2; 2; 1; 1; 1; 1;-3;-3;-2;-3;-2;-4; 3;-2; 2,00;-2,75; 1,00;-1,25;  4,75;  2,25;-4,75;-2,25;I don't know;I would try Brand 2;-3;-2;-2; 0;What I learned during the experiment;Not Demand Compliant;yes;3;no;NA; 0,272284692;Learning_Consistent_First; 0,272284692;-0,272284692
 50;28;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2;-2;-1;-2; 0; 0; 0; 0; 2; 2; 2; 2;-2;-2;-2;-2;-1,75; 2,00; 0,00;-2,00; -3,75;  2,00; 3,75;-2,00;I would try Brands 1 and 3;I would try Brands 2 and 4; 4; 0; 3; 4;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;yes;6; 0,485534207;Learning_Inconsistent_First;-0,485534207; 0,485534207
 52;23;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-1;-1;-1;-1; 1; 1; 2; 1; 3; 3; 4; 3; 3; 3; 3; 3;-1,00; 3,25; 1,25; 3,00; -4,25; -1,75; 4,25; 1,75;I would try Brand 3;I would try Brand 4; 4; 2; 4; 2;What I learned during the experiment;Not Demand Compliant;yes;3;no;NA; 0,549876081;Learning_Inconsistent_First;-0,549876081; 0,549876081
 53;29;M;Explicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-5;-5;-5;-5;-5;-5;-5;-5; 5; 5; 5; 5; 5; 5; 5; 5;-5,00; 5,00;-5,00; 5,00;-10,00;-10,00;10,00;10,00;I would try Brand 3;I would try Brand 4; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;4;yes;9=I very strongly believed it; 0,120141338;Learning_Consistent_First; 0,120141338;-0,120141338
 54;34;M;Explicits First;Fail;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 4; 3; 4; 4; 5; 5; 4; 4; 3; 4; 4; 4; 2; 2; 2; 2; 3,75; 3,75; 4,50; 2,00;  0,00;  2,50; 0,00;-2,50;I would try Brand 1;I would try neither Brand; 3; 5; 3; 4;What I learned during the experiment;Not Demand Compliant;yes;2;yes;5=I moderately believed it;-0,076185570;Learning_Inconsistent_First; 0,076185570;-0,076185570
 55;28;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2; 0;-4;-2; 0; 1; 0; 1; 2; 1; 1; 3;-1;-1;-1;-1;-2,00; 1,75; 0,50;-1,00; -3,75;  1,50; 3,75;-1,50;I would try Brand 3;I would try neither Brand; 3;-1; 3; 0;What I learned during the experiment;Not Demand Compliant;yes;3;no;NA; 0,176189931;Learning_Consistent_First; 0,176189931;-0,176189931
 56;31;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-2;-2;-5;-2; 5; 5; 5; 5; 5; 5; 5; 5;-2;-4;-2;-2;-2,75; 5,00; 5,00;-2,50; -7,75;  7,50; 7,75;-7,50;I would try Brand 3;I would try Brand 2; 5; 4; 5; 3;What I thought the experimenter wanted me to say;Demand Compliant;yes;1=I did not resist your attempts to influence how I felt at all;yes;9=I very strongly believed it; 0,269793808;Learning_Inconsistent_First;-0,269793808; 0,269793808
 57;33;F;Explicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-4;-3;-4;-3;-3;-3;-3;-3; 5; 5; 5; 5; 3; 3; 3; 3;-3,50; 5,00;-3,00; 3,00; -8,50; -6,00; 8,50; 6,00;I would try Brand 3;I would try Brand 4; 5; 4; 5; 4;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;yes;5=I moderately believed it;-0,381066973;Learning_Consistent_First;-0,381066973; 0,381066973
 61;27;M;Explicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0,00; 0,00; 0,00; 1,00;  0,00; -1,00; 0,00; 1,00;I would try Brand 1;I would try Brand 2; 0; 0; 0; 0;I don't know why I evaluated the items as I did;Not Demand Compliant;yes;2;no;NA; 0,149606379;Learning_Consistent_First; 0,149606379;-0,149606379
 62;31;M;Explicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-5;-5;-5;-5;-5;-5;-5;-5;-5; 3;-5; 4; 4; 4; 5; 3;-5,00;-0,75;-5,00; 4,00; -4,25; -9,00; 4,25; 9,00;I would try Brand 3;I would try Brand 4; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;8;no;NA; 0,480582646;Learning_Inconsistent_First;-0,480582646; 0,480582646
 63;23;M;Implicits First;Pass;EX;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;-4;-4;-4;-4;-3;-2;-3;-3;-1; 1; 1;-1; 2; 1; 1; 1;-4,00; 0,00;-2,75; 1,25; -4,00; -4,00; 4,00; 4,00;I would try Brand 3;I would try Brand 4; 5; 5; 5; 5;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA;-0,522103750;Learning_Consistent_First;-0,522103750; 0,522103750
 70;33;F;Explicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 4; 4; 5; 4; 4; 4; 5; 4;-4;-4;-4;-4;-5;-4;-5;-4; 4,25;-4,00; 4,25;-4,50;  8,25;  8,75; 8,25; 8,75;I would try Brand 1;I would try Brand 2; 4; 4; 4; 4;What I learned during the experiment;Not Demand Compliant;yes;5=I slightly resisted your attempts to influence how I felt;no;NA;-0,772141807;Learning_Inconsistent_First; 0,772141807; 0,772141807
 72;27;M;Implicits First;Pass;AQ;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad; 3; 3; 3; 3; 2; 2; 2; 2;-3;-4;-3;-3;-3;-3;-3;-3; 3,00;-3,25; 2,00;-3,00;  6,25;  5,00; 6,25; 5,00;I would try neither Brand;I would try neither Brand; 3; 0;-3; 0;What I learned during the experiment;Not Demand Compliant;yes;4;no;NA; 0,295704808;Learning_Inconsistent_First;-0,295704808;-0,295704808
