subject;phase;stimulus_identity;complete_data;mean_correct;sd_correct;training_performance
  2;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;NA;NA;NA
  3;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;NA;NA;NA
  4;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,750;0,4442617;Fail
  5;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
  6;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
  7;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
  8;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,900;0,3077935;Fail
  9;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,950;0,2236068;Fail
  9;extinction;NA;complete;1,000;0,0000000;Fail
 11;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
 11;extinction;NA;complete;1,000;0,0000000;Fail
 12;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
 12;extinction;NA;complete;1,000;0,0000000;Fail
 14;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,950;0,2236068;Fail
 14;extinction;NA;complete;1,000;0,0000000;Fail
 16;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
 16;extinction;NA;complete;1,000;0,0000000;Fail
 17;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 18;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 19;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,950;0,2236068;Fail
 21;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,900;0,3077935;Fail
 22;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,350;0,4893605;Fail
 23;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 24;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 27;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,650;0,4893605;Fail
 27;extinction;NA;complete;0,600;0,5026247;Fail
