subject;stimulus_identity;complete_data;mean_correct;sd_correct;training_performance
  2;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;NA;NA;NA
  3;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;NA;NA;NA
  4;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,75;0,4442617;Pass
  5;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
  6;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
  7;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
  8;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,90;0,3077935;Pass
  9;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,95;0,2236068;Pass
 11;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
 12;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
 14;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,95;0,2236068;Pass
 16;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
 17;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 18;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 19;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,95;0,2236068;Pass
 21;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,90;0,3077935;Pass
 22;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,35;0,4893605;Fail
 23;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 24;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 27;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,65;0,4893605;Fail
 28;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 30;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 32;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 33;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
 35;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,40;0,5026247;Fail
 36;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,80;0,4103913;Pass
 37;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
 39;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,10;0,3077935;Fail
 43;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,45;0,5104178;Fail
 45;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,95;0,2236068;Pass
 47;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,55;0,5104178;Fail
 49;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,80;0,4103913;Pass
 50;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 52;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 53;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 54;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,65;0,4893605;Fail
 55;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 56;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,65;0,4893605;Fail
 57;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 61;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 62;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,70;0,4701623;Pass
 63;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 66;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,85;0,3663475;Pass
 70;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
 71;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
 72;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,95;0,2236068;Pass
 73;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,80;0,4103913;Pass
 74;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,80;0,4103913;Pass
 75;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
 76;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
 82;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 83;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,95;0,2236068;Pass
 84;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,95;0,2236068;Pass
 85;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,90;0,3077935;Pass
 86;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 88;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,80;0,4103913;Pass
 89;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 91;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 92;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 93;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 95;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,95;0,2236068;Pass
