experiment,unique_id,age,gender,stimulus_identity_condition,experiment_condition,completeness_acquisition_training,completeness_acquisition_testing,completeness_extinction_training,completeness_extinction_testing,complete_iat_data,mean_correct_acquisition_training,mean_correct_acquisition_testing,mean_correct_extinction_training,mean_correct_extinction_testing,passed_performance_criterion_acquisition_training,passed_performance_criterion_acquisition_testing,passed_performance_criterion_extinction_training,passed_performance_criterion_extinction_testing,passed_iat_performance,self_reported_OEC_effect,self_reported_OEC_effect_controlling_stimulus_identity,self_reported_IR_effect,self_reported_IR_effect_controlling_stimulus_identity,IAT_D2,IAT_D2_controlling_stimulus_identity,behavioral_intentions_OEC,behavioral_intentions_IR,task_order,iat_block_order,demand_response,reactance_response_1,reactance_response_2,confidence_stim_1,confidence_stim_2,confidence_stim_3,confidence_stim_4,believability_response_1,believability_response_2
2,2_164,18,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.15,0.125,NA,NA,FALSE,FALSE,NA,NA,TRUE,0,0,0.5,0.5,0.19256082933821683,0.19256082933821683,I don't know,I would try Brands 2 and 4,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,5,0,0,0,0,no,NA
2,2_163,22,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.95,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,3,3,5.25,5.25,-0.7578954331405826,-0.7578954331405826,I would try neither Brand,I would try Brand 2,Implicits First,learning_consistent_first,Not Demand Compliant,yes,3,2,5,3,4,yes,3
2,2_162,22,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,0.625,NA,NA,TRUE,FALSE,NA,NA,TRUE,-0.25,-0.25,0,0,0.20949524791654062,0.20949524791654062,I would try Brand 1,I would try Brands 2 and 4,Explicits First,learning_inconsistent_first,Demand Compliant,no,NA,5,5,5,5,no,NA
2,2_161,26,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.75,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,0.25,0.25,-0.5,-0.5,0.3834882457304141,0.3834882457304141,I would try Brand 3,I would try Brands 2 and 4,Explicits First,learning_consistent_first,Not Demand Compliant,no,NA,0,1,1,1,no,NA
2,2_139,34,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,NA,complete,NA,complete,1,NA,1,NA,TRUE,NA,TRUE,NA,TRUE,3.25,3.25,5.25,5.25,-0.16018850203816232,-0.16018850203816232,I would try Brand 1,I would try Brand 2,Implicits First,learning_consistent_first,Demand Compliant,yes,7,4,4,-2,3,no,NA
2,2_137,44,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.75,TRUE,TRUE,TRUE,TRUE,TRUE,9.75,9.75,6.75,6.75,0.45175379061762755,0.45175379061762755,I would try Brands 1 and 3,I would try Brand 2,Explicits First,learning_consistent_first,Not Demand Compliant,yes,6,5,5,4,2,yes,5
2,2_131,31,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.95,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,4,4,2,2,0.09412402242474471,0.09412402242474471,I would try Brand 1,I would try Brands 2 and 4,Implicits First,learning_consistent_first,Not Demand Compliant,yes,5,5,5,5,5,yes,5
2,2_132,37,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.7,0.5,NA,NA,FALSE,FALSE,NA,NA,TRUE,0,0,0,0,-0.05222858530737759,-0.05222858530737759,I would try Brands 1 and 3,I would try Brand 2,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,4,3,3,3,3,no,NA
2,2_105,23,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,8,8,5,5,0.7121398934952097,0.7121398934952097,I would try Brand 1,I would try Brand 2,Explicits First,learning_consistent_first,Not Demand Compliant,yes,3,5,4,5,4,yes,9
2,2_129,35,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,0.875,NA,NA,TRUE,TRUE,NA,NA,TRUE,0,0,0,0,0.4049103242291337,0.4049103242291337,I would try neither Brand,I would try neither Brand,Explicits First,learning_consistent_first,Not Demand Compliant,yes,3,5,5,5,3,no,NA
2,2_106,25,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.95,0.875,1,0.75,TRUE,TRUE,TRUE,TRUE,TRUE,9.75,9.75,5.25,5.25,-0.32811204283262896,-0.32811204283262896,I would try Brand 1,I would try neither Brand,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,3,5,2,5,1,no,NA
2,2_100,18,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,0.875,NA,NA,TRUE,TRUE,NA,NA,TRUE,2,2,8.5,8.5,-0.8214724597072457,-0.8214724597072457,I would try neither Brand,I would try Brands 2 and 4,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,4,3,4,1,3,yes,5
2,2_73,39,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,8,8,2,2,0.6391951649945931,0.6391951649945931,I would try Brand 1,I would try Brand 2,Explicits First,learning_consistent_first,Not Demand Compliant,yes,3,1,1,1,1,no,NA
2,2_99,34,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.95,0.75,NA,NA,TRUE,TRUE,NA,NA,TRUE,-0.25,-0.25,0.25,0.25,0.3093958551096271,0.3093958551096271,I would try Brands 1 and 3,I would try Brands 2 and 4,Implicits First,learning_consistent_first,Not Demand Compliant,yes,9,5,5,5,5,no,NA
2,2_76,34,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.75,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,10,10,0.04929454482642171,0.04929454482642171,I would try Brand 1,I would try Brand 2,Implicits First,learning_inconsistent_first,Not Demand Compliant,no,NA,5,5,-5,-5,yes,5
2,2_66,24,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.85,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,0.25,0.25,0,0,0.07295025417544757,0.07295025417544757,I would try Brands 1 and 3,I would try Brands 2 and 4,Explicits First,learning_inconsistent_first,Not Demand Compliant,no,NA,1,1,1,1,no,NA
2,2_44,39,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.75,TRUE,TRUE,TRUE,TRUE,TRUE,2,2,2,2,0.5671069128909761,0.5671069128909761,I would try Brands 1 and 3,I would try Brands 2 and 4,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,4,1,1,1,1,no,NA
2,2_65,44,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,3.75,3.75,2,2,0.0891287600733574,0.0891287600733574,I would try Brand 1,I would try Brand 2,Explicits First,learning_consistent_first,Not Demand Compliant,yes,5,0,0,0,0,no,NA
2,2_34,21,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,0,0,-0.25,-0.25,-0.32500039667009173,-0.32500039667009173,I would try Brands 1 and 3,I would try Brands 2 and 4,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,5,3,3,3,3,yes,6
2,2_33,35,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,0,0,0.5,0.5,0.5902314928851635,0.5902314928851635,I would try neither Brand,I don't know,Explicits First,learning_consistent_first,Not Demand Compliant,yes,7,5,5,5,5,yes,9
