ID;IAT_D2;IAT_order;Reverse_Scored_IAT_D2
  4;-0,1026739319;Learning_Inconsistent_First; 0,1026739319
  6;-0,4116838388;Learning_Inconsistent_First; 0,4116838388
 11; 0,5017008323;Learning_Consistent_First; 0,5017008323
 14; 0,5541274329;Learning_Inconsistent_First;-0,5541274329
 15; 0,6168431228;Learning_Consistent_First; 0,6168431228
 18; 0,1285598884;Learning_Inconsistent_First;-0,1285598884
 19; 0,0728838300;Learning_Consistent_First; 0,0728838300
 20; 0,7029801256;Learning_Inconsistent_First;-0,7029801256
 22; 0,0956690844;Learning_Inconsistent_First;-0,0956690844
 25; 0,0457228126;Learning_Consistent_First; 0,0457228126
 26;-0,0349843974;Learning_Inconsistent_First; 0,0349843974
 28; 0,5704064178;Learning_Inconsistent_First;-0,5704064178
 32;-0,3543847789;Learning_Inconsistent_First; 0,3543847789
 35; 0,3769457275;Learning_Consistent_First; 0,3769457275
 36; 1,1519035700;Learning_Inconsistent_First;-1,1519035700
 37; 0,4714001303;Learning_Consistent_First; 0,4714001303
 38;-0,0175341483;Learning_Inconsistent_First; 0,0175341483
 39; 0,7928376778;Learning_Consistent_First; 0,7928376778
 41; 0,3987304097;Learning_Consistent_First; 0,3987304097
 42; 0,4426368193;Learning_Inconsistent_First;-0,4426368193
 45; 0,5190621771;Learning_Consistent_First; 0,5190621771
 46; 0,1671800692;Learning_Inconsistent_First;-0,1671800692
 47; 0,4162183164;Learning_Consistent_First; 0,4162183164
 50; 0,6226477192;Learning_Inconsistent_First;-0,6226477192
 51; 0,0729390359;Learning_Consistent_First; 0,0729390359
 52; 0,2871425304;Learning_Inconsistent_First;-0,2871425304
 53;-0,6452976972;Learning_Consistent_First;-0,6452976972
 58; 0,1613836483;Learning_Inconsistent_First;-0,1613836483
 61;-0,2953067586;Learning_Consistent_First;-0,2953067586
 62; 0,4930979620;Learning_Inconsistent_First;-0,4930979620
 65; 0,2747646013;Learning_Consistent_First; 0,2747646013
 67; 1,0581050357;Learning_Consistent_First; 1,0581050357
 70;-0,2682329384;Learning_Inconsistent_First; 0,2682329384
 73; 0,7806070506;Learning_Consistent_First; 0,7806070506
 76; 0,2982737192;Learning_Inconsistent_First;-0,2982737192
 78;-0,2865435314;Learning_Inconsistent_First; 0,2865435314
 79; 0,7949707326;Learning_Consistent_First; 0,7949707326
 80;-0,3668246685;Learning_Inconsistent_First; 0,3668246685
 81; 0,0375700490;Learning_Consistent_First; 0,0375700490
 84; 0,4039637529;Learning_Inconsistent_First;-0,4039637529
 87; 0,5249899762;Learning_Consistent_First; 0,5249899762
 88; 0,5675136969;Learning_Inconsistent_First;-0,5675136969
 89;-0,2223296042;Learning_Consistent_First;-0,2223296042
 93;-0,1287452241;Learning_Consistent_First;-0,1287452241
 94; 0,1717203379;Learning_Inconsistent_First;-0,1717203379
 95; 0,2531610049;Learning_Consistent_First; 0,2531610049
 96;-0,0975187220;Learning_Inconsistent_First; 0,0975187220
 97; 0,6594993905;Learning_Consistent_First; 0,6594993905
 99; 0,8198693072;Learning_Consistent_First; 0,8198693072
105; 0,1449866233;Learning_Consistent_First; 0,1449866233
106; 0,6923364399;Learning_Inconsistent_First;-0,6923364399
109;-0,0036028204;Learning_Consistent_First;-0,0036028204
110; 0,3983377526;Learning_Inconsistent_First;-0,3983377526
113; 0,2033765238;Learning_Consistent_First; 0,2033765238
114; 0,1098248229;Learning_Inconsistent_First;-0,1098248229
115; 0,3302164643;Learning_Consistent_First; 0,3302164643
118; 0,6912665005;Learning_Inconsistent_First;-0,6912665005
119;-0,2488993227;Learning_Consistent_First;-0,2488993227
122; 0,5609573224;Learning_Inconsistent_First;-0,5609573224
123; 0,4717223223;Learning_Consistent_First; 0,4717223223
124; 0,6693570885;Learning_Inconsistent_First;-0,6693570885
125; 0,5342024367;Learning_Consistent_First; 0,5342024367
128; 0,2651594917;Learning_Inconsistent_First;-0,2651594917
