experiment,unique_id,age,gender,stimulus_identity_condition,experiment_condition,completeness_acquisition_training,completeness_acquisition_testing,completeness_extinction_training,completeness_extinction_testing,complete_iat_data,mean_correct_acquisition_training,mean_correct_acquisition_testing,mean_correct_extinction_training,mean_correct_extinction_testing,passed_performance_criterion_acquisition_training,passed_performance_criterion_acquisition_testing,passed_performance_criterion_extinction_training,passed_performance_criterion_extinction_testing,passed_iat_performance,self_reported_OEC_effect,self_reported_OEC_effect_controlling_stimulus_identity,self_reported_IR_effect,self_reported_IR_effect_controlling_stimulus_identity,IAT_D2,IAT_D2_controlling_stimulus_identity,behavioral_intentions_OEC,behavioral_intentions_OEC_controlling_stimulus_identity,behavioral_intentions_IR,behavioral_intentions_IR_controlling_stimulus_identity,task_order,iat_block_order,demand_response,reactance_response_1,reactance_response_2,confidence_stim_1,confidence_stim_2,confidence_stim_3,confidence_stim_4,believability_response_1,believability_response_2
3,3_172,26,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,0.875,1,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,0.25,0.25,3.25,3.25,0.04736852188906504,0.04736852188906504,brand_A,brand_A,both,both,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,4,1,2,1,2,no,NA
3,3_170,39,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,0.75,TRUE,TRUE,TRUE,TRUE,TRUE,6,6,0,0,-0.2784458841890122,-0.2784458841890122,both,both,brand_B,brand_B,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,7,5,5,5,5,no,NA
3,3_162,26,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.7,0.75,NA,NA,FALSE,TRUE,NA,NA,TRUE,-2.25,-2.25,-0.25,-0.25,0.11541356096700411,0.11541356096700411,brand_B,brand_B,brand_B,brand_B,Explicits First,learning_inconsistent_first,Not Demand Compliant,yes,5,0,1,-1,0,yes,4
3,3_164,21,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,1,1,0.75,0.75,0.5570856565908859,0.5570856565908859,both,both,both,both,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,6,4,4,4,4,no,NA
3,3_161,37,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,1,NA,NA,TRUE,TRUE,NA,NA,TRUE,4,4,4,4,1.1240017041359274,1.1240017041359274,brand_A,brand_A,brand_A,brand_A,Explicits First,learning_consistent_first,Not Demand Compliant,yes,1,2,2,2,2,no,NA
3,3_163,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,1,0.75,NA,NA,TRUE,TRUE,NA,NA,TRUE,10,10,-1.5,-1.5,-0.04156588740478118,-0.04156588740478118,brand_A,brand_A,neither,neither,Implicits First,learning_consistent_first,Not Demand Compliant,yes,1,5,0,5,0,no,NA
3,3_140,39,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,0.95,1,0.95,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0.30476853508115676,0.30476853508115676,both,both,both,both,Implicits First,learning_inconsistent_first,Not Demand Compliant,yes,5,5,5,5,5,no,NA
3,3_137,20,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_extinction,complete,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,1,1,0.5356707720128008,0.5356707720128008,both,both,both,both,Explicits First,learning_consistent_first,Not Demand Compliant,yes,4,0,3,0,1,no,NA
3,3_132,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.95,0.875,NA,NA,TRUE,TRUE,NA,NA,TRUE,2.25,2.25,1,1,0.47516846451252615,0.47516846451252615,brand_A,brand_A,both,both,Implicits First,learning_inconsistent_first,Demand Compliant,no,NA,5,3,3,3,yes,7
3,3_131,20,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,complete,complete,NA,NA,complete,0.95,0.625,NA,NA,TRUE,FALSE,NA,NA,TRUE,5,5,9.25,9.25,0.675350763603423,0.675350763603423,both,both,brand_A,brand_A,Implicits First,learning_consistent_first,Not Demand Compliant,yes,5,5,5,5,5,no,NA
