subject;training_condition
379601181;Extinction
455981307;Extinction
556411884;Extinction
616538237;Extinction
888776896;Extinction
905546448;Extinction
905546474;Extinction
905546477;Extinction
905546478;Extinction
905546480;Extinction
905546489;Extinction
905546490;Extinction
905546491;Extinction
905546492;Extinction
905546493;Extinction
905546494;Extinction
905546495;Extinction
905546505;Extinction
905546506;Extinction
905546510;Extinction
905546511;Extinction
905546521;Extinction
905546523;Extinction
905546524;Extinction
905546525;Extinction
905546526;Extinction
905546528;Extinction
905546537;Extinction
905546539;Extinction
905546540;Extinction
905546541;Extinction
905546543;Extinction
905546553;Extinction
905546554;Extinction
905546555;Extinction
905546556;Extinction
905546557;Extinction
905546558;Extinction
905546560;Extinction
905546569;Extinction
905546572;Extinction
905546574;Extinction
905546576;Extinction
905546585;Extinction
905546587;Extinction
905546588;Extinction
905546589;Extinction
905546590;Extinction
905546591;Extinction
