subject;stimulus_identity
        3;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
        4;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
        6;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
        7;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
        8;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
        9;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       11;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       16;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       17;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       20;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       21;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       23;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       27;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       28;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       29;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       30;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       31;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       33;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       35;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       36;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       38;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       41;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       43;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       44;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       46;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       47;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       49;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       51;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       53;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       54;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       57;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       58;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       60;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       61;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       62;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       64;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       68;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       71;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       72;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       73;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       75;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       76;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       77;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       78;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       79;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
       82;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       84;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       87;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       88;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       90;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       91;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       92;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       93;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       94;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       95;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
       98;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      100;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      101;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      102;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      103;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      104;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      106;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      109;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      110;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      111;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      114;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      116;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      117;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      120;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      123;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      125;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      126;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      127;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      130;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      131;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      132;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      133;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      136;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      137;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      141;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      143;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      148;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      149;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      151;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      152;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      153;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      154;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      157;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      160;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      163;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
      164;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 52162361;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
137333688;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
313206201;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
343483196;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
459244001;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
514757468;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
547854617;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
617687584;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
800342016;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
950704713;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
992945207;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
