subject;block_number;training_condition;mean_correct;sd_correct;training_performance;block_type
  2;8;Extinction;0,25;0,4442617;Fail;Manipulation_Phase
  3;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
  4;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
  4;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
  5;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
  6;5;Counterconditioning;0,50;0,5129892;Fail;Manipulation_Phase
  7;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
  8;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
  9;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 11;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 12;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 12;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 14;4;Counterconditioning;0,95;0,2236068;Pass;Manipulation_Phase
 15;7;Extinction;0,95;0,2236068;Pass;Manipulation_Phase
 16;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 17;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 18;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 20;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 20;7;Extinction;0,90;0,3077935;Pass;Manipulation_Phase
 22;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 23;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 24;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 27;4;Counterconditioning;0,95;0,2236068;Pass;Manipulation_Phase
 27;7;Extinction;0,95;0,2236068;Pass;Manipulation_Phase
 28;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 29;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 30;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 31;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 31;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 32;5;Counterconditioning;0,45;0,5104178;Fail;Manipulation_Phase
 34;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 35;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 36;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 36;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 38;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 39;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 39;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 40;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
