ID;IAT_D2;training_condition;IAT_order;Reverse_Scored_IAT_D2
  2; 0,343792306;Acquisition_Only;Learning_Inconsistent_First;-0,343792306
  2; 0,343792306;Extinction;Learning_Inconsistent_First;-0,343792306
  3; 0,261016030;Acquisition_Only;Learning_Consistent_First; 0,261016030
  3; 0,261016030;Extinction;Learning_Consistent_First; 0,261016030
  4; 0,123893295;Acquisition_Only;Learning_Inconsistent_First;-0,123893295
  4; 0,123893295;Counterconditioning;Learning_Inconsistent_First;-0,123893295
  4; 0,123893295;Extinction;Learning_Inconsistent_First;-0,123893295
  6; 0,337264267;Acquisition_Only;Learning_Inconsistent_First;-0,337264267
  6; 0,337264267;Counterconditioning;Learning_Inconsistent_First;-0,337264267
  8; 0,016003810;Acquisition_Only;Learning_Inconsistent_First;-0,016003810
  8; 0,016003810;Extinction;Learning_Inconsistent_First;-0,016003810
  9;-0,089314658;Acquisition_Only;Learning_Consistent_First;-0,089314658
  9;-0,089314658;Extinction;Learning_Consistent_First;-0,089314658
 10; 0,010106170;Acquisition_Only;Learning_Inconsistent_First;-0,010106170
 11;-0,100639071;Acquisition_Only;Learning_Consistent_First;-0,100639071
 11;-0,100639071;Extinction;Learning_Consistent_First;-0,100639071
 13; 0,086083107;Acquisition_Only;Learning_Consistent_First; 0,086083107
 14; 0,364689402;Acquisition_Only;Learning_Inconsistent_First;-0,364689402
 14; 0,364689402;Counterconditioning;Learning_Inconsistent_First;-0,364689402
 15; 0,569251063;Acquisition_Only;Learning_Consistent_First; 0,569251063
 15; 0,569251063;Extinction;Learning_Consistent_First; 0,569251063
 17; 0,483376554;Acquisition_Only;Learning_Consistent_First; 0,483376554
 17; 0,483376554;Extinction;Learning_Consistent_First; 0,483376554
 23; 0,630308315;Acquisition_Only;Learning_Consistent_First; 0,630308315
 23; 0,630308315;Counterconditioning;Learning_Consistent_First; 0,630308315
 25;-0,102036485;Acquisition_Only;Learning_Consistent_First;-0,102036485
 27;-0,159443868;Acquisition_Only;Learning_Consistent_First;-0,159443868
 27;-0,159443868;Counterconditioning;Learning_Consistent_First;-0,159443868
 27;-0,159443868;Extinction;Learning_Consistent_First;-0,159443868
 31; 0,333494414;Acquisition_Only;Learning_Consistent_First; 0,333494414
 31; 0,333494414;Counterconditioning;Learning_Consistent_First; 0,333494414
 31; 0,333494414;Extinction;Learning_Consistent_First; 0,333494414
 35; 0,482006933;Acquisition_Only;Learning_Consistent_First; 0,482006933
 35; 0,482006933;Extinction;Learning_Consistent_First; 0,482006933
 36; 0,259373364;Acquisition_Only;Learning_Inconsistent_First;-0,259373364
 36; 0,259373364;Counterconditioning;Learning_Inconsistent_First;-0,259373364
 36; 0,259373364;Extinction;Learning_Inconsistent_First;-0,259373364
 41; 0,333510106;Acquisition_Only;Learning_Consistent_First; 0,333510106
 41; 0,333510106;Counterconditioning;Learning_Consistent_First; 0,333510106
