subject;training_condition;training_performance;stimulus_identity
  2;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  2;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  3;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  3;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  4;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  4;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  4;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  5;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
  6;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
  6;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
  7;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
  7;Extinction;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
  8;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
  8;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
  9;Acquisition_Only;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  9;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 10;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 11;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 11;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 12;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 12;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 13;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 14;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 14;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 15;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 15;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 16;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 17;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 17;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 18;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 20;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 20;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 22;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 22;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 23;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 23;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 23;Extinction;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 24;Extinction;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 25;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 27;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 27;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 27;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 28;Acquisition_Only;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 28;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 29;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 30;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 31;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 31;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 31;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 32;Counterconditioning;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 34;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 35;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 35;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 36;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 36;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 36;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 38;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 39;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 39;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 40;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 41;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 41;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 41;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 42;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 43;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 43;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 44;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 44;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 45;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 47;Acquisition_Only;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 49;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 49;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 50;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 51;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 51;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 51;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 53;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 53;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 53;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 55;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 56;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 57;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
